Date,Price,Open,High,Low,Vol.,Change %,Close,Volume,Date,Ticker
2016-06-02,907.14,904.72,912.75,904.17,1.36B,0.43,907.14,1360000000.0,2016-06-02,SET50
2016-06-03,916.77,911.99,918.03,909.42,1.78B,1.06,916.77,1780000000.0,2016-06-03,SET50
2016-06-06,920.90,920.24,923.91,919.38,1.25B,0.45,920.9,1250000000.0,2016-06-06,SET50
2016-06-07,921.02,925.13,926.79,919.55,1.41B,0.01,921.02,1410000000.0,2016-06-07,SET50
2016-06-08,923.13,921.82,924.33,915.46,994.79M,0.23,923.13,994790000.0,2016-06-08,SET50
2016-06-09,914.25,925.93,927.2,914.25,944.92M,-0.96,914.25,944920000.0,2016-06-09,SET50
2016-06-10,909.42,913.23,916.49,909.42,854.79M,-0.53,909.42,854790000.0,2016-06-10,SET50
2016-06-13,902.39,901.99,906.37,898.28,2.59B,-0.77,902.39,2590000000.0,2016-06-13,SET50
2016-06-14,906.77,902.3,908.14,901.85,1.14B,0.49,906.77,1140000000.0,2016-06-14,SET50
2016-06-15,911.40,907.92,913.11,903.57,1.28B,0.51,911.4,1280000000.0,2016-06-15,SET50
2016-06-16,893.11,905.93,906.81,891.96,1.39B,-2.01,893.11,1390000000.0,2016-06-16,SET50
