Date,High,Low,Open,Close,Volume,Adj Close,SMA,WMA,ADOSC,ATR,RSI,Actual,Predict
2017-08-02,28.0,27.5,27.75,27.5,10910900.0,25.60373497009277,28.4,28.333870967741934,-821760.2836307772,0.6119686920804224,40.886122479564264,27.0,27.50764607383291
2017-08-03,27.75,26.75,27.75,27.0,29970300.0,25.138214111328125,28.32,28.23494623655914,-7507368.971182853,0.6396852140746779,36.62856043935421,26.75,27.03016585744476
2017-08-04,27.25,26.75,27.0,26.75,14955500.0,24.90545463562012,28.23,28.124193548387098,-14318470.800528444,0.6297076987836295,34.68379868825389,26.75,26.72934170467188
2017-08-07,27.25,26.75,27.0,26.75,10538100.0,24.90545463562012,28.14,28.018279569892474,-19156183.294303603,0.6204428631562274,34.683798688253894,27.0,26.603111421406926
2017-08-08,27.25,26.75,26.75,27.0,7026000.0,25.138214111328125,28.06,27.933333333333334,-19393776.287729472,0.6118398015022112,38.472457443058474,26.75,26.831649967031282
2017-08-09,27.0,26.75,27.0,26.75,3354400.0,24.90545463562012,27.98,27.837096774193547,-18795211.940701008,0.5859941013949105,36.210503203951134,27.0,26.549560952765095
2017-08-10,27.25,26.75,27.0,27.0,9272100.0,25.138214111328125,27.92,27.763440860215052,-16841689.076852925,0.5798516655809883,40.00894165630386,26.5,26.80179462565526
2017-08-11,27.0,26.25,27.0,26.5,14233000.0,24.672691345214844,27.84,27.661827956989246,-16021018.59526176,0.5920051180394891,35.460937901508366,27.25,26.329678607988278
2017-08-15,27.25,26.75,26.75,27.25,9246600.0,25.37097549438477,27.8,27.613978494623655,-11286733.525950685,0.6032904667509541,45.47354076297743,27.25,27.137796388559405
2017-08-16,27.5,27.0,27.25,27.25,6269000.0,25.37097549438477,27.77,27.56989247311828,-8323913.858873352,0.5959125762687432,45.47354076297743,27.5,27.108291125814986
2017-08-17,27.5,27.25,27.25,27.5,2502600.0,25.60373497009277,27.73,27.545698924731184,-5558850.007898696,0.5712045351066901,48.558745597954726,27.25,27.34760197964399
2017-08-18,27.5,27.0,27.25,27.25,1330300.0,25.37097549438477,27.67,27.508064516129032,-3922337.5226909965,0.5661184968847837,45.76979781182495,27.5,27.080401099697568
2017-08-21,27.5,27.0,27.25,27.5,3683600.0,25.60373497009277,27.63,27.489247311827956,-1724224.4584977627,0.5613957471072991,48.928688641893444,27.75,27.32968848371499
2017-08-22,27.75,27.25,27.5,27.75,4572300.0,25.83650016784668,27.61,27.488709677419354,786574.0185356215,0.557010336599635,51.94330451171145,27.5,27.587129462492598
2017-08-23,28.0,27.5,27.75,27.5,3582200.0,25.60373497009277,27.58,27.473118279569892,602421.2120005935,0.552938169699661,48.83871703146984,27.75,27.30935968392162
2017-08-24,27.75,27.5,27.75,27.75,1677600.0,25.83650016784668,27.57,27.4747311827957,1006102.2264180258,0.5312997290068281,51.932638552062436,27.75,27.56600444403411
2017-08-25,27.75,27.5,27.75,27.75,1326200.0,25.83650016784668,27.57,27.47795698924731,1501753.348096244,0.5112068912206261,51.932638552062436,28.0,27.5689608718824
2017-08-28,28.0,28.0,28.0,28.0,426000.0,26.06926155090332,27.56,27.4994623655914,1567996.6844104007,0.49254925613343853,55.08291588762524,28.5,27.845569442407164
2017-08-29,28.5,27.75,27.75,28.5,14894200.0,26.534780502319336,27.58,27.554301075268818,6191614.714319788,0.51093859498105,60.63911767388539,28.25,28.37903109648964
2017-08-30,28.5,28.0,28.5,28.25,9088200.0,26.302021026611328,27.6,27.59247311827957,7520220.752526373,0.5101572667681179,56.8523426257833,28.75,28.105053741003356
2017-08-31,29.0,28.25,28.25,28.75,15201400.0,26.76754379272461,27.62,27.662903225806453,8992354.669441827,0.5272888905703952,61.96778225038716,28.75,28.60069865682396
2017-09-01,29.0,28.5,28.75,28.75,17812200.0,26.76754379272461,27.62,27.731720430107526,8777104.483685248,0.5253396841010812,61.967782250387174,28.5,28.65659340220719
2017-09-04,29.0,28.5,29.0,28.5,3562000.0,26.534780502319336,27.6,27.782258064516128,6757765.363722533,0.5235297066652896,57.981615824372525,28.75,28.354177822121965
2017-09-05,29.25,28.5,28.75,28.75,15238500.0,26.76754379272461,27.61,27.848387096774193,3701125.2361266464,0.5397061561891975,60.703842248593,28.75,28.625237510060018
2017-09-06,29.0,28.5,29.0,28.75,5104200.0,26.76754379272461,27.64,27.912903225806453,2114215.617007725,0.5368700021756834,60.703842248592984,28.5,28.67679457303159
2017-09-07,29.0,28.25,28.75,28.5,16266300.0,26.534780502319336,27.68,27.959139784946238,-452389.73781435937,0.5520935734488488,56.46149114844695,28.25,28.359469037709985
2017-09-08,28.75,28.0,28.25,28.25,14961300.0,26.302021026611328,27.73,27.988709677419354,-3048042.861349359,0.566229746773931,52.50952512879231,27.75,28.054049719305198
2017-09-11,28.25,27.5,28.25,27.75,15023300.0,25.83650016784668,27.77,27.98709677419355,-5426186.454794042,0.579356193432936,45.63044674813298,27.75,27.47836180010693
2017-09-12,28.0,27.5,27.75,27.75,4539500.0,25.83650016784668,27.81,27.988172043010753,-5905773.701676495,0.5736878939020119,45.63044674813298,27.5,27.483769303565886
2017-09-13,28.0,27.0,28.0,27.5,15609200.0,25.60373497009277,27.83,27.9747311827957,-5565079.966157824,0.6041387586232967,42.40873378937049,28.0,27.212620127172126
